category,Straddle Price,Index Spot,Synthetic Future
Mon Sep 02 2024,286.75,58446.15,58528.85
Mon Sep 02 2024,270.7,58410.97,58444.60
Mon Sep 02 2024,271.55,58427.39,58461.85
Mon Sep 02 2024,274.55,58437.67,58464.75
Mon Sep 02 2024,278.1,58417.01,58446.10
Mon Sep 02 2024,274,58409.7,58438.40
Mon Sep 02 2024,284.1,58371.49,58406.10
Mon Sep 02 2024,279.6,58394.2,58406.40
Mon Sep 02 2024,263.85,58396.11,58399.55
Mon Sep 02 2024,257.85,58419.15,58445.15
Mon Sep 02 2024,260.9,58398.27,58425.30
Mon Sep 02 2024,259.3,58407.19,58414.40
Mon Sep 02 2024,259.65,58372.24,58389.65
Mon Sep 02 2024,265.7,58345.1,58366.90
Mon Sep 02 2024,257.4,58360.3,58372.80
Mon Sep 02 2024,267.25,58362.62,58361.85
Mon Sep 02 2024,260.75,58370.67,58373.85
Mon Sep 02 2024,265.5,58341.53,58351.50
Mon Sep 02 2024,261.15,58365.71,58358.85
Mon Sep 02 2024,256.9,58367.08,58375.60
Mon Sep 02 2024,256.3,58354.67,58364.70
Mon Sep 02 2024,253,58378.04,58392.90
Mon Sep 02 2024,248.8,58372.31,58376.30
Mon Sep 02 2024,251.7,58359.99,58379.20
Mon Sep 02 2024,242.65,58362.6,58375.95
Mon Sep 02 2024,240.95,58366.81,58395.95
Mon Sep 02 2024,239.35,58376.15,58394.15
Mon Sep 02 2024,236.3,58382.44,58395.10
Mon Sep 02 2024,236.6,58389.14,58399.80
Mon Sep 02 2024,234.75,58356.47,58365.65
Mon Sep 02 2024,232.85,58361.45,58361.85
Mon Sep 02 2024,227.8,58353.82,58367.90
Mon Sep 02 2024,228.15,58370.24,58370.75
Mon Sep 02 2024,226.4,58354.82,58348.00
Mon Sep 02 2024,224.9,58361.85,58348.60
Mon Sep 02 2024,219.9,58376.14,58362.10
Mon Sep 02 2024,217.25,58384.15,58367.15
Mon Sep 02 2024,210.05,58393.17,58385.95
Mon Sep 02 2024,210,58391.22,58373.20
Mon Sep 02 2024,204,58377.11,58361.00
Mon Sep 02 2024,202.8,58373.91,58358.00
Mon Sep 02 2024,204.05,58353.17,58345.15
Mon Sep 02 2024,196.25,58362.55,58355.55
Mon Sep 02 2024,195.85,58361.73,58350.25
Mon Sep 02 2024,192.5,58359.99,58346.80
Mon Sep 02 2024,193.3,58334.69,58335.20
Mon Sep 02 2024,197.2,58335.79,58326.80
Mon Sep 02 2024,192.8,58325.25,58330.00
Mon Sep 02 2024,189.1,58357.91,58346.90
Mon Sep 02 2024,187.95,58339.97,58332.45
Mon Sep 02 2024,184.7,58326.47,58329.30
Mon Sep 02 2024,185.9,58317.19,58314.60
Mon Sep 02 2024,189.2,58289.47,58314.60
Mon Sep 02 2024,187.05,58318.72,58322.65
Mon Sep 02 2024,192.1,58305.24,58326.70
Mon Sep 02 2024,188.5,58339.67,58336.00
Mon Sep 02 2024,193.85,58361.18,58350.65
Mon Sep 02 2024,190.65,58363.15,58344.75
Mon Sep 02 2024,189.7,58343.83,58341.90
Mon Sep 02 2024,190.75,58351.44,58343.45
Mon Sep 02 2024,193.15,58319.21,58340.85
Mon Sep 02 2024,193.75,58325.53,58343.55
Mon Sep 02 2024,194.15,58323.12,58337.55
Mon Sep 02 2024,190.9,58339.48,58335.10
Mon Sep 02 2024,191.85,58362.77,58335.45
Mon Sep 02 2024,185.9,58362.44,58330.20
Mon Sep 02 2024,184.95,58338.04,58328.15
Mon Sep 02 2024,186.65,58311.75,58324.25
